label,episodes,force_band,checkpoint,episode_len_mean,episode_len_std,episode_time_s_mean,episode_time_s_std,targets_cleared_mean,targets_cleared_std,task_success_mean,task_success_std,task_percentage_mean,task_percentage_std,coverage_span_norm_mean,coverage_span_norm_std,coverage_length_m_mean,coverage_length_m_std,contact_time_s_mean,contact_time_s_std,contact_time_fraction_mean,contact_time_fraction_std,wipe_time_s_mean,wipe_time_s_std,wipe_step_fraction_mean,wipe_step_fraction_std,mean_contact_force_mean,mean_contact_force_std,median_contact_force_mean,median_contact_force_std,p95_contact_force_mean,p95_contact_force_std,peak_contact_force_mean,peak_contact_force_std,force_std_mean,force_std_std,in_band_force_fraction_mean,in_band_force_fraction_std,pass_completions_mean,pass_completions_std,sweep_consistency_mean,sweep_consistency_std,clear_spatial_order_mean,clear_spatial_order_std,clear_s_coverage_mean,clear_s_coverage_std,clear_t_coverage_mean,clear_t_coverage_std,second_half_frac_mean,second_half_frac_std,productive_frac_mean,productive_frac_std,stall_frac_mean,stall_frac_std,mean_stroke_len_mean,mean_stroke_len_std,n_contact_bouts_mean,n_contact_bouts_std,slide_frac_mean,slide_frac_std,action_effort_mean,action_effort_std,action_smoothness_mean,action_smoothness_std,terminated_drift_mean,terminated_drift_std,n_clears_mean,n_clears_std
Bscr_forearm_back,100,"[2.0,12.0]",scripted_baseline,150.0,0.0,15.0,0.0,6.27,1.2317,0.0,0.0,41.7998,8.2115,0.6749,0.0677,0.1107,0.0111,4.808,1.7414,0.3205,0.1161,8.204,2.1814,0.5469,0.1454,2.091,2.8615,0.0,0.0,4.1668,7.7904,65.5238,84.5661,10.1967,13.7983,0.0867,0.0974,0.45,0.4975,0.1405,0.0987,0.9863,0.0782,0.296,0.0937,0.221,0.0516,0.0,0.0,0.3875,0.132,0.6771,0.1494,3.849,1.4668,1.93,0.5875,0.3362,0.1535,0.5468,0.0397,0.0125,0.004,0.0,0.0,3.22,1.0916
Bscr_forearm_front,100,"[2.0,12.0]",scripted_baseline,149.74,1.6225,14.974,0.1622,4.48,1.8027,0.0,0.0,29.8669,12.0191,0.6255,0.0897,0.1026,0.0147,5.528,1.1852,0.3693,0.0796,6.81,0.7683,0.4549,0.0523,1.4731,1.5633,0.0,0.0,2.6938,3.0078,58.2159,68.6277,8.2939,9.4411,0.0496,0.0527,0.01,0.0995,0.016,0.0251,1.0,0.0,0.2788,0.1085,0.2414,0.0752,0.0,0.0,0.2814,0.1012,0.7115,0.0798,4.2342,0.918,1.33,0.5487,0.2973,0.0826,0.5272,0.0617,0.0134,0.004,0.05,0.2179,2.93,1.321
Bscr_upperarm_back,100,"[2.0,12.0]",scripted_baseline,149.93,0.6965,14.993,0.0696,4.28,1.1839,0.0,0.0,17.8334,4.9321,0.5905,0.1182,0.0968,0.0194,6.198,2.2726,0.4134,0.1515,7.429,2.6177,0.4956,0.1749,1.2032,1.4624,0.0,0.0,1.6668,3.3587,54.8782,66.4971,7.5457,9.1766,0.0201,0.0242,0.0,0.0,0.0179,0.0111,0.9764,0.1033,0.246,0.1062,0.235,0.0572,0.011,0.0572,0.3208,0.0958,0.7469,0.0872,4.0294,1.2492,2.75,1.0897,0.2792,0.0886,0.5973,0.0534,0.0194,0.0018,0.01,0.0995,3.18,0.9938
Bscr_upperarm_front,100,"[2.0,12.0]",scripted_baseline,131.87,19.5252,13.187,1.9525,3.2,1.6673,0.0,0.0,13.3323,6.9479,0.6178,0.1965,0.1013,0.0322,3.357,1.9991,0.2537,0.1369,5.721,1.6905,0.4418,0.1246,0.2122,0.5324,0.0,0.0,0.0041,0.0408,9.6623,25.0071,1.4001,3.5593,0.0015,0.0065,0.0,0.0,0.0085,0.0081,1.0,0.0,0.2209,0.12,0.1835,0.0788,0.0,0.0,0.317,0.1707,0.5863,0.1778,4.42,1.7164,1.92,0.6112,0.4164,0.1771,0.5269,0.0618,0.0114,0.0034,0.49,0.4999,2.08,1.3905
Aours_s1_forearm_back,100,"[2.0,12.0]",student_ours_4r_s1.pt,146.75,7.5397,14.675,0.754,6.43,1.4917,0.0,0.0,42.8671,9.9444,0.6739,0.1601,0.1105,0.0263,6.208,2.9424,0.4179,0.1914,9.263,2.2301,0.6286,0.1372,1.8915,1.8523,0.0,0.0,4.7554,3.7223,60.5561,70.9098,8.615,10.236,0.1199,0.101,0.67,0.6173,0.1942,0.1021,0.8186,0.2014,0.318,0.1169,0.285,0.0994,0.0324,0.0821,0.4162,0.1619,0.6052,0.1256,4.9401,2.2965,1.89,0.5458,0.4312,0.1253,0.5745,0.0473,0.0134,0.0031,0.19,0.3923,3.55,1.244
Aours_s1_forearm_front,100,"[2.0,12.0]",student_ours_4r_s1.pt,150.0,0.0,15.0,0.0,6.15,0.7665,0.0,0.0,41.0011,5.1106,0.6081,0.0555,0.0997,0.0091,11.04,1.5952,0.736,0.1063,11.823,1.5393,0.7882,0.1026,2.0835,0.7719,0.334,0.8219,4.6406,0.8851,54.8773,52.0254,5.8502,4.4274,0.3839,0.1033,1.0,0.0,0.1974,0.0441,0.665,0.0666,0.378,0.046,0.355,0.0517,0.0079,0.0399,0.2682,0.0307,0.7474,0.0584,5.9923,1.9357,1.03,0.1706,0.279,0.0737,0.2505,0.0146,0.0058,0.0005,0.0,0.0,3.99,0.4358
Aours_s1_upperarm_back,100,"[2.0,12.0]",student_ours_4r_s1.pt,149.57,2.2683,14.957,0.2268,6.31,1.9834,0.0,0.0,26.2915,8.2644,0.5377,0.1662,0.0882,0.0273,9.768,2.8338,0.6528,0.1879,12.115,2.0817,0.8094,0.136,1.5995,0.8283,0.5683,0.933,3.6548,2.3925,44.3245,47.6974,5.2772,5.1263,0.258,0.224,0.46,0.4984,0.155,0.0885,0.7825,0.1876,0.362,0.1181,0.384,0.1027,0.1874,0.1775,0.3716,0.161,0.6946,0.1897,4.1946,1.3118,1.81,0.7706,0.3611,0.209,0.4935,0.0802,0.0154,0.0067,0.05,0.2179,4.88,1.6928
Aours_s1_upperarm_front,100,"[2.0,12.0]",student_ours_4r_s1.pt,149.54,2.2557,14.954,0.2256,6.03,2.4554,0.0,0.0,25.1249,10.231,0.4986,0.2152,0.0818,0.0353,9.493,3.9786,0.6332,0.2646,11.876,3.2748,0.7924,0.2167,1.8023,1.4819,0.1518,0.4217,4.5204,3.3149,61.6846,67.6391,7.456,8.3585,0.1777,0.1129,0.79,0.4073,0.1787,0.0839,0.6959,0.1612,0.3489,0.0934,0.3978,0.1095,0.2288,0.1791,0.3042,0.1321,0.6771,0.1559,4.381,1.8999,1.94,0.9881,0.381,0.1712,0.4675,0.0407,0.0137,0.0042,0.05,0.2179,4.54,1.9871
Ayubik_s1_forearm_back,100,"[2.0,12.0]",student_yubik_4r_s1.pt,147.8,6.2801,14.78,0.628,6.7,1.7748,0.01,0.0995,44.6669,11.8319,0.6427,0.147,0.1054,0.0241,7.909,3.0555,0.5307,0.1989,11.335,2.8671,0.7631,0.18,1.4921,1.1288,0.0233,0.1555,3.6724,2.7138,53.1069,58.2578,6.7245,7.1767,0.1413,0.1159,0.42,0.603,0.1962,0.1156,0.7319,0.1891,0.316,0.1129,0.31,0.1127,0.0976,0.1331,0.3336,0.0917,0.5031,0.1264,5.2953,1.7374,2.2,0.6782,0.5415,0.1243,0.4057,0.0481,0.0116,0.003,0.14,0.347,3.81,1.4946
Ayubik_s1_forearm_front,100,"[2.0,12.0]",student_yubik_4r_s1.pt,150.0,0.0,15.0,0.0,7.28,1.1232,0.0,0.0,48.5331,7.4866,0.6185,0.085,0.1014,0.0139,10.429,2.3926,0.6953,0.1595,11.493,2.3022,0.7662,0.1535,1.5703,0.7117,0.0707,0.3567,4.8416,1.4359,45.8472,48.7572,5.3772,4.81,0.2375,0.1116,0.89,0.3434,0.2978,0.1002,0.6289,0.1154,0.324,0.0763,0.336,0.0755,0.0358,0.0561,0.2657,0.0449,0.6305,0.0947,6.4133,1.8013,1.06,0.2375,0.4092,0.1078,0.2981,0.0473,0.0092,0.0014,0.0,0.0,4.11,1.0089
